feature,target,mean_r,sd_r,min_r,max_r,sign_consistency,mean_spearman,mean_p,n_sig05
n_res,b_p,-0.13705718732351768,0.17233040061161256,-0.3184280760490362,0.1603524398129544,7,-0.05216942102106912,0.3294017530887465,0
n_res,abs_b_p,0.25960036447352786,0.13197060731346563,-0.06964954580837504,0.42427616472605956,9,0.17479501801059263,0.21296627238330398,2
n_res,a_p,-0.21485132544776206,0.06279921764150077,-0.286278372106317,-0.08185740736369006,10,-0.1019774893011846,0.2957076024889672,0
n_res,ddg_pcc,-0.2793950036691701,0.043959340105804816,-0.32183654427200525,-0.1708937015039653,10,-0.3202653298893422,0.16102064437980843,0
n_res,a_dg,-0.21485132665401455,0.06279921758725113,-0.28627837472680195,-0.08185740864846314,10,-0.1019774893011846,0.29570759970700833,0
bfac_mean,b_p,0.1350658846399332,0.12028902598511489,-0.010523194017454864,0.369297055923812,9,0.07476027845947794,0.5604890825871195,0
bfac_mean,abs_b_p,0.05657784359333402,0.1430528993669995,-0.24671109557918172,0.22800101316939303,7,0.1552481588977062,0.4931737118623488,0
bfac_mean,a_p,0.326825880914979,0.03791906845543938,0.2725799802275439,0.4052161382288929,10,0.09424508710489174,0.0959507710235914,1
bfac_mean,ddg_pcc,0.1091121724840595,0.04801337220923959,0.026339894483190657,0.18907964102020058,10,-0.3245001676094862,0.5911370049670337,0
bfac_mean,a_dg,0.32682587953140063,0.0379190679421598,0.2725799789379982,0.40521613663864414,10,0.09424508710489174,0.09595077233130986,1
bfac_std,b_p,0.10396490515330077,0.04842891883958676,0.022466743249967693,0.17654127570824815,10,0.016442876494020077,0.6084761028986386,0
bfac_std,abs_b_p,-0.09403911975195504,0.031137436038454612,-0.1516312333471591,-0.05664047979405416,10,-0.12334897849930729,0.6382182128020654,0
bfac_std,a_p,0.39783609637884665,0.07735892239742594,0.20334414121903197,0.4653833735315125,10,0.28207754625491444,0.058331506138730595,8
bfac_std,ddg_pcc,0.3380656205562631,0.03760883150240601,0.2656406734351814,0.3859730806494891,10,0.4146071307967162,0.08475957728284145,3
bfac_std,a_dg,0.3978360974002838,0.07735892128470045,0.20334414577357607,0.4653833753951769,10,0.28207754625491444,0.058331504733218555,8
bfac_all_zero,b_p,-0.15282662665833618,0.11009088211786672,-0.3686608725652727,-0.017121579096422215,10,-0.1920515043733222,0.5042053308318498,0
