file,k,dG_pcc,dG_pcc_sd,E5bot
abl_anchor_w0.3_s42_e14,1,0.733755371575563,0.040616738498948333,8.334865392280385
abl_anchor_w0.3_s42_e14,2,0.7886982106579086,0.02376832734288245,8.960651125785505
abl_anchor_w0.3_s42_e14,3,0.8046674343303862,0.015226568096032423,9.14012809550157
abl_anchor_w0.3_s42_e14,5,0.8213758798053482,0.009408955091085209,9.275135238620583
abl_anchor_w0.3_s42_e14,10,0.8355111136672011,0.004930094407526925,9.402014285714289
abl_anchor_w0.3_s42_e14,20,0.8414179736551669,0.0027821846956990683,9.471987239952606
abl_anchor_w0.3_s42_e14,50,0.8454865918473865,0.0010103217274904015,9.473592343838572
abl_anchor_w0.3_s42_e14,100,0.8467994042842945,0.0008046531880289788,9.474234642534709
abl_anchor_w0.3_s42_e14,0,0.3925703972522641,0.0,5.163754453845061
abl_anchor_w0.3_s42_e14,-1,0.8483244153129172,0.0,9.450378014160275
abl_anchor_w1.0_s42_e14,1,0.7125554947418457,0.04245016836756728,8.376676728138952
abl_anchor_w1.0_s42_e14,2,0.7703178049736734,0.024786216514226075,8.906533207495423
abl_anchor_w1.0_s42_e14,3,0.7856847660999438,0.018418355093314395,9.078421591804574
abl_anchor_w1.0_s42_e14,5,0.8036310062173552,0.010159111719515708,9.221582007719551
abl_anchor_w1.0_s42_e14,10,0.8179429322336926,0.006292312595957565,9.252220289115648
abl_anchor_w1.0_s42_e14,20,0.8241566814080735,0.0030756101166310775,9.350267777756953
abl_anchor_w1.0_s42_e14,50,0.8284930400008541,0.0013301082890937864,9.37858106133078
abl_anchor_w1.0_s42_e14,100,0.8297403882626018,0.0010885962084548398,9.376357073441625
abl_anchor_w1.0_s42_e14,0,0.36284977656518436,0.0,5.474994448323393
abl_anchor_w1.0_s42_e14,-1,0.8313881439363559,0.0,9.379641651778837
abl_anchor_w3.0_s42_e13,1,0.5573776820550654,0.06291618990324964,3.5858535499040998
abl_anchor_w3.0_s42_e13,2,0.632366211455296,0.04921222185492477,4.291149171664771
abl_anchor_w3.0_s42_e13,3,0.6646213373591343,0.02684401488577238,4.878360142849958
abl_anchor_w3.0_s42_e13,5,0.6998915503440872,0.017512522665697233,5.08258075042596
abl_anchor_w3.0_s42_e13,10,0.7289508267260566,0.00881299719575515,5.98271030612245
abl_anchor_w3.0_s42_e13,20,0.7439408234096874,0.004947241298954372,6.492987596017898
abl_anchor_w3.0_s42_e13,50,0.7518750174011467,0.0025044297134787143,6.694698383910855
abl_anchor_w3.0_s42_e13,100,0.7552118469379661,0.0023848039355099833,6.994320619202881
abl_anchor_w3.0_s42_e13,0,0.28551462755319434,0.0,1.2449599779133298
abl_anchor_w3.0_s42_e13,-1,0.7587518212757172,0.0,7.116078055572783
abl_calib_ctrl_repro2_e14,1,0.7190633225173041,0.04452299928744274,7.583678680245139
abl_calib_ctrl_repro2_e14,2,0.7791456954581277,0.022232948348593646,8.419235620097433
abl_calib_ctrl_repro2_e14,3,0.7975406126855055,0.016568641527176468,8.660897892460138
abl_calib_ctrl_repro2_e14,5,0.8163625224096148,0.010160835363173493,8.893627708750389
abl_calib_ctrl_repro2_e14,10,0.8323734515363778,0.0052455808623634,9.122668724489795
abl_calib_ctrl_repro2_e14,20,0.8397596320470572,0.002358999824942732,9.26318784630473
abl_calib_ctrl_repro2_e14,50,0.844135218908378,0.000931439094109421,9.282081351420777
abl_calib_ctrl_repro2_e14,100,0.8456713512709191,0.0008537456980146525,9.308837253051204
abl_calib_ctrl_repro2_e14,0,0.4498445038295721,0.0,4.527127192412109
abl_calib_ctrl_repro2_e14,-1,0.8474158461258332,0.0,9.323052561873686
abl_p3_slope3.0_s42_e8,1,0.6592587526638626,0.05345095148553619,6.12902214794544
abl_p3_slope3.0_s42_e8,2,0.7281894703139612,0.031442092462521484,7.320807304759956
abl_p3_slope3.0_s42_e8,3,0.7544165228707228,0.020881977458179192,7.693216974330602
abl_p3_slope3.0_s42_e8,5,0.7793514830039274,0.012780517904995254,7.914977958213805
abl_p3_slope3.0_s42_e8,10,0.8008380625120558,0.0067872374813091,8.442761156462586
abl_p3_slope3.0_s42_e8,20,0.8117149366879635,0.0033922427966828236,8.67166974840135
abl_p3_slope3.0_s42_e8,50,0.8175946651653951,0.0017995619134085106,8.737316922211589
abl_p3_slope3.0_s42_e8,100,0.8198203361640124,0.0017902289370171584,8.804532237964624
abl_p3_slope3.0_s42_e8,0,0.3398292537005812,0.0,2.5889508631606746
abl_p3_slope3.0_s42_e8,-1,0.8223563773029395,0.0,8.785456207774748
abl_sigma_seed1_e13,1,0.7009153662429666,0.045899498503906136,7.368952667276573
abl_sigma_seed1_e13,2,0.7648138037488971,0.025659290464997913,8.212925826790716
abl_sigma_seed1_e13,3,0.7841608177629985,0.017414775714100307,8.426838740506012
abl_sigma_seed1_e13,5,0.8054368991549725,0.011342109411823391,8.598847977596028
abl_sigma_seed1_e13,10,0.8228097182450437,0.0057680481413563845,8.767592653061225
abl_sigma_seed1_e13,20,0.8312511697437442,0.0026330115360500587,8.867238765723613
abl_sigma_seed1_e13,50,0.8360809024665953,0.0010705006329982446,8.86705817743764
abl_sigma_seed1_e13,100,0.8376833690871711,0.0010580009854723217,8.887754342166769
abl_sigma_seed1_e13,0,0.4154733972507732,0.0,4.668599917174987
abl_sigma_seed1_e13,-1,0.8397368402027239,0.0,8.856192570156187
abl_sigma_seed2_e10,1,0.7161021294570925,0.04290807105780987,7.37509444542529
abl_sigma_seed2_e10,2,0.7794042045200166,0.0239103285406776,8.348811429484142
abl_sigma_seed2_e10,3,0.8002410465891063,0.016102318483399537,8.564909997820365
abl_sigma_seed2_e10,5,0.8204383981934306,0.010578317362718349,8.791260470921864
abl_sigma_seed2_e10,10,0.8374973274924448,0.005230159472460004,9.117667653061227
abl_sigma_seed2_e10,20,0.8458355668144274,0.0027675541847964544,9.264150055492046
abl_sigma_seed2_e10,50,0.8502217735401276,0.0012974362007254535,9.251320518441752
abl_sigma_seed2_e10,100,0.8519418465224214,0.001256611996604091,9.27193688609365
abl_sigma_seed2_e10,0,0.4788314183964117,0.0,5.0081344566058945
abl_sigma_seed2_e10,-1,0.8539456369379623,0.0,9.266463471968533
abl_sigma_seed3_e13,1,0.677560076676542,0.05280144645810727,6.513355726713158
abl_sigma_seed3_e13,2,0.7472585912537143,0.029645950789487355,7.641024681541858
abl_sigma_seed3_e13,3,0.770742913916352,0.01881323024436911,8.034848766829302
abl_sigma_seed3_e13,5,0.7941998823034767,0.011566197926395502,8.222316632898053
abl_sigma_seed3_e13,10,0.8144143368594663,0.006731978110815866,8.709484965986396
abl_sigma_seed3_e13,20,0.8247880658461054,0.0032571227738399915,8.914146463605336
abl_sigma_seed3_e13,50,0.8300805034490405,0.001685735744668922,8.95165046812996
abl_sigma_seed3_e13,100,0.8320921671775039,0.001760620654102889,9.04373036136324
abl_sigma_seed3_e13,0,0.433692944071343,0.0,4.753483552032714
abl_sigma_seed3_e13,-1,0.8345411240139152,0.0,9.040107112347929
abl_sigma_seed42_e9,1,0.7073838293715439,0.043683530538313024,7.620529349137436
abl_sigma_seed42_e9,2,0.7694740406756037,0.024275537378573686,8.40056611990129
abl_sigma_seed42_e9,3,0.7894162471958903,0.017289936484304564,8.62212445718693
abl_sigma_seed42_e9,5,0.8091094874356752,0.010386911910946803,8.790786548524512
abl_sigma_seed42_e9,10,0.8257174385635679,0.005464087788217687,8.969064387755102
abl_sigma_seed42_e9,20,0.8336005779110252,0.002421299182387547,9.081089757604905
abl_sigma_seed42_e9,50,0.8381723932485646,0.0009741853152501404,9.089081931600761
abl_sigma_seed42_e9,100,0.8397738775400927,0.0009435985084249408,9.093454260100371
abl_sigma_seed42_e9,0,0.3480696017830295,0.0,3.2821672144987786
abl_sigma_seed42_e9,-1,0.841682477776039,0.0,9.082548929776792
abl_sigma_seed4_e14,1,0.6761321702584382,0.050663869198020774,6.578553063984143
abl_sigma_seed4_e14,2,0.7450361207309691,0.030266303873765454,7.677891036359554
abl_sigma_seed4_e14,3,0.7689780833080454,0.01978251097747749,7.9705416058883705
abl_sigma_seed4_e14,5,0.793159747563156,0.01244900801228912,8.19127471587135
abl_sigma_seed4_e14,10,0.8137896566003183,0.006499039096064901,8.640898843537416
abl_sigma_seed4_e14,20,0.8241545645257561,0.003354412080022353,8.812152289749692
abl_sigma_seed4_e14,50,0.8294383132475491,0.0017393432769291677,8.847956692442601
abl_sigma_seed4_e14,100,0.8315110882002252,0.0018151664647862017,8.911569472614552
abl_sigma_seed4_e14,0,0.42174749565078046,0.0,3.8763526585028676
abl_sigma_seed4_e14,-1,0.8340016498237615,0.0,8.912781660061338
