file,protein,N,pct,end,k,hits,rate,chance,enr
abl_anchor_w0.3_s42_e14,2K1B,933,0.1,bot,93,65,0.6989247311827957,0.09967845659163987,7.01179327089837
abl_anchor_w0.3_s42_e14,2K1B,933,0.15,top,139,75,0.539568345323741,0.1489817792068596,3.6217069509859736
abl_anchor_w0.3_s42_e14,2K1B,933,0.15,bot,139,105,0.7553956834532374,0.1489817792068596,5.070389731380363
abl_anchor_w0.3_s42_e14,2K28,919,0.05,top,45,16,0.35555555555555557,0.04896626768226333,7.2612345679012344
abl_anchor_w0.3_s42_e14,2K28,919,0.05,bot,45,21,0.4666666666666667,0.04896626768226333,9.53037037037037
abl_anchor_w0.3_s42_e14,2K28,919,0.1,top,91,36,0.3956043956043956,0.09902067464635474,3.9951696654993354
abl_anchor_w0.3_s42_e14,2K28,919,0.1,bot,91,47,0.5164835164835165,0.09902067464635474,5.215915952179689
abl_anchor_w0.3_s42_e14,2K28,919,0.15,top,137,62,0.45255474452554745,0.14907508161044614,3.035750439554585
abl_anchor_w0.3_s42_e14,2K28,919,0.15,bot,137,88,0.6423357664233577,0.14907508161044614,4.30880707549683
abl_anchor_w0.3_s42_e14,2K5H,1124,0.05,top,56,9,0.16071428571428573,0.0498220640569395,3.225765306122449
abl_anchor_w0.3_s42_e14,2K5H,1124,0.05,bot,56,32,0.5714285714285714,0.0498220640569395,11.46938775510204
abl_anchor_w0.3_s42_e14,2K5H,1124,0.1,top,112,32,0.2857142857142857,0.099644128113879,2.86734693877551
abl_anchor_w0.3_s42_e14,2K5H,1124,0.1,bot,112,77,0.6875,0.099644128113879,6.899553571428571
abl_anchor_w0.3_s42_e14,2K5H,1124,0.15,top,168,62,0.36904761904761907,0.1494661921708185,2.469104308390023
abl_anchor_w0.3_s42_e14,2K5H,1124,0.15,bot,168,127,0.7559523809523809,0.1494661921708185,5.057681405895692
abl_anchor_w0.3_s42_e14,2KVS,1206,0.05,top,60,6,0.1,0.04975124378109453,2.0100000000000002
abl_anchor_w0.3_s42_e14,2KVS,1206,0.05,bot,60,25,0.4166666666666667,0.04975124378109453,8.375
abl_anchor_w0.3_s42_e14,2KVS,1206,0.1,top,120,26,0.21666666666666667,0.09950248756218906,2.1774999999999998
abl_anchor_w0.3_s42_e14,2KVS,1206,0.1,bot,120,62,0.5166666666666667,0.09950248756218906,5.1925
abl_anchor_w0.3_s42_e14,2KVS,1206,0.15,top,180,47,0.2611111111111111,0.14925373134328357,1.7494444444444448
