file,pct,dG_raw_top,dG_raw_bot,dG_nob_top,dG_nob_bot,dG_orc_top,dG_orc_bot,ddG_top,ddG_bot,N
abl_anchor_w0.3_s42_e14,0.05,8.44592166834384,5.163754453845061,3.4519344842142328,10.384097997595273,8.57324712063043,10.08700527559323,10.270919817784971,6.776543516141874,28286
abl_anchor_w0.3_s42_e14,0.15,2.5433652074037467,2.331156120259429,2.881327827670623,3.9863869999851063,4.332209216072142,4.358931841860686,2.967783381692382,3.6295613497498462,28286
abl_anchor_w1.0_s42_e14,0.05,8.813750752727323,5.474994448323393,5.248638088702788,10.002121640735503,8.757161662822172,9.662587101304593,10.66704344712103,6.536039884044982,28286
abl_anchor_w1.0_s42_e14,0.15,2.8121633844532155,2.2399848087455743,2.754002375384032,3.8464861943862596,4.291339317807311,4.190736491309264,2.945776513395934,3.5321023615798635,28286
abl_anchor_w3.0_s42_e13,0.05,5.0081344566058945,1.2449599779133298,7.809294406910887,9.025959839871641,6.550187156521269,7.964914404150053,10.949988896646786,5.970148984993468,28286
abl_anchor_w3.0_s42_e13,0.15,2.1378100630834953,1.2795421995220333,2.516642581615203,3.488088624986968,3.8150478111056203,3.934513667572051,2.947348432559966,3.1061122681271964,28286
abl_calib_ctrl_repro2_e14,0.05,3.395345394309081,4.527127192412109,5.050576274034758,9.110843474729368,7.5970853197665695,7.85173622433975,8.870339842632475,7.582938047290281,28286
abl_calib_ctrl_repro2_e14,0.15,2.8970470193109428,2.519786419943267,3.0322320674176932,3.917222556767699,4.264616692018767,4.170301542176848,2.766577728696288,3.6845785204909656,28286
abl_p3_slope3.0_s42_e8,0.05,5.220343543750213,2.5889508631606746,4.767630824509002,9.110843474729368,7.993208949102629,8.587394393106718,8.17712349129437,6.988752603286192,28286
abl_p3_slope3.0_s42_e8,0.15,2.9284854025915825,2.461625410874084,2.6659749021982413,3.9360855867360827,4.277192045331023,4.200168006293456,2.686409851330657,3.5273866040877673,28286
abl_sigma_seed1_e13,0.05,6.790690788618162,4.668599917174987,2.1503854163957516,8.813750752727323,7.3848762326222515,7.894178041768614,8.856192570156187,6.507745339092406,28286
abl_sigma_seed1_e13,0.15,2.862464797702239,2.2431286470736382,2.505639147466979,3.8794964968309316,4.173445380504912,4.186020733817168,2.7351393454156487,3.7050134696233816,28286
abl_sigma_seed2_e10,0.05,6.847279878523314,5.0081344566058945,8.77130893529846,10.723632537026182,9.068401657300505,10.115299820545804,11.06316707645709,7.540496229861418,28286
abl_sigma_seed2_e10,0.15,2.8247387377654714,2.4600534917100516,3.063670450698333,4.170301542176848,4.393514063469389,4.393514063469389,2.9221977259354546,3.7946128619732042,28286
abl_sigma_seed3_e13,0.05,3.508523574119384,4.753483552032714,4.682747189651274,9.068401657300505,7.7951471344345995,8.530805303201566,7.611232592242857,7.299992597764525,28286
abl_sigma_seed3_e13,0.15,2.952064190052062,2.3091492519629813,3.011797118285277,3.9832431616570423,4.283479721987151,4.239465985394255,2.766577728696288,3.6877223588190295,28286
abl_sigma_seed42_e9,0.05,2.5182145007792354,3.2821672144987786,1.8815872393462825,9.719176191209746,7.823441679387175,8.757161662822172,9.238168927015959,6.578481701473845,28286
abl_sigma_seed42_e9,0.15,2.7712934861883842,1.9523236017277215,2.2242656171052544,3.917222556767699,4.277192045331023,4.241037904558287,2.794872273648864,3.5996948856332387,28286
abl_sigma_seed4_e14,0.05,0.608332716480377,3.8763526585028676,5.715498080420287,9.577703466446867,7.865883496816038,8.417627123391265,8.686425300440733,7.172667145477934,28286
abl_sigma_seed4_e14,0.15,2.430187027593444,2.626676923097442,2.7681496478603203,3.943945182556243,4.253613257870543,4.239465985394255,2.76029005204016,3.686150439654998,28286
