k	pooled	sd	gain	pct_recovered	marginal	file
1	0.5643812558331414	0.0416986079985355	-0.05658871578429969	-44.97028351459408	-0.05658871578429969	abl_p3_slope1.0_s42_e13.csv
2	0.6361669786172002	0.027781259652433145	0.015197006999759122	12.07685496800139	0.07178572278405881	abl_p3_slope1.0_s42_e13.csv
3	0.6643067883857305	0.0252062443411901	0.04333681676828949	34.43917943143531	0.028139809768530366	abl_p3_slope1.0_s42_e13.csv
5	0.6966977856108827	0.014918281283008391	0.07572781399344164	60.17986480213354	0.016195498612576076	abl_p3_slope1.0_s42_e13.csv
8	0.714609795232205	0.01040641741309625	0.09363982361476397	74.4142954624329	0.005970669873774111	abl_p3_slope1.0_s42_e13.csv
12	0.7246635507705455	0.005829273509711234	0.1036935791531044	82.40387837979304	0.0025134388845851063	abl_p3_slope1.0_s42_e13.csv
20	0.7334019679200467	0.0034056303301333315	0.1124319963026057	89.34817975216828	0.0010923021436876623	abl_p3_slope1.0_s42_e13.csv
1	0.5365126105003698	0.045903684505125227	-0.02698797331155134	-15.605266267324907	-0.02698797331155134	abl_calib_ctrl_repro2_e14.csv
2	0.6106847712879662	0.03231066643937027	0.047184187476045025	27.283331010850706	0.07417216078759636	abl_calib_ctrl_repro2_e14.csv
3	0.642925629720918	0.03149995364455485	0.0794250459089969	45.92597507771712	0.03224085843295188	abl_calib_ctrl_repro2_e14.csv
5	0.6777976020317965	0.019433270532830622	0.11429701821987537	66.09000914192447	0.01743598615543923	abl_calib_ctrl_repro2_e14.csv
8	0.6985924437663955	0.014620370476811586	0.13509185995447437	78.11421853731476	0.006931613911533001	abl_calib_ctrl_repro2_e14.csv
12	0.7106838632763505	0.007435568154197162	0.14718327946442933	85.10584472667414	0.00302285487748874	abl_calib_ctrl_repro2_e14.csv
20	0.7205072897053542	0.004675880461150386	0.15700670589343302	90.78604839785775	0.0012279283036254612	abl_calib_ctrl_repro2_e14.csv
1	0.5205934073779689	0.05235136343458712	-0.1176133644211187	-102.08736953434176	-0.1176133644211187	abl_sigma_seed2_e10.csv
2	0.6009204404998839	0.034104724018869964	-0.03728633129920367	-32.36420878406747	0.08032703312191503	abl_sigma_seed2_e10.csv
3	0.6383832019851969	0.03277126952307336	0.00017643018610935535	0.15313985527927246	0.03746276148531302	abl_sigma_seed2_e10.csv
5	0.6815222502919396	0.019943508188509963	0.043315478492852	37.59745570770022	0.021569524153371322	abl_sigma_seed2_e10.csv
8	0.7070866349039837	0.014230192088226888	0.06887986310489613	59.78711750041374	0.008521461537348044	abl_sigma_seed2_e10.csv
12	0.7214259374207603	0.009211503997261965	0.08321916562167275	72.23350641293123	0.003584825629194155	abl_sigma_seed2_e10.csv
20	0.7333509437389326	0.00602687805963326	0.09514417193984503	82.5843073843557	0.0014906257897715353	abl_sigma_seed2_e10.csv
